ds,COMC_GAS,HDR_WAT,STUR_LIG
2020-01-01,4007.0,2622.0,3690.0
2020-01-02,4001.0,2622.0,3693.0
2020-01-03,4001.0,2622.0,3644.0
2020-01-04,3999.0,2622.0,3649.0
2020-01-05,3999.0,2622.0,3649.0
2020-01-06,3999.0,2622.0,3649.0
2020-01-07,3999.0,2622.0,3531.0
2020-01-08,4001.0,2622.0,3692.0
2020-01-09,3991.0,2622.0,3706.0
2020-01-10,4000.0,2622.0,3715.0
2020-01-11,3998.0,2982.0,3674.0
2020-01-12,3998.0,2982.0,3326.0
2020-01-13,4000.0,2982.0,3458.0
2020-01-14,3999.0,2982.0,3436.0
2020-01-15,4001.0,2982.0,3663.0
2020-01-16,4001.0,2982.0,3675.0
2020-01-17,3995.0,2982.0,3675.0
2020-01-18,3995.0,2982.0,3678.0
2020-01-19,4003.0,2982.0,3605.0
2020-01-20,3822.0,2982.0,3723.0
2020-01-21,3932.0,2877.0,3336.0
2020-01-22,4003.0,2877.0,3336.0
2020-01-23,4102.0,2877.0,3364.0
2020-01-24,4072.0,2877.0,3364.0
2020-01-25,4235.0,2977.0,3341.0
2020-01-26,4235.0,2977.0,3287.0
2020-01-27,4225.0,2977.0,3565.0
2020-01-28,4225.0,2977.0,3348.0
2020-01-29,4229.0,2977.0,3357.0
2020-01-30,4229.0,2877.0,3305.0
2020-01-31,4232.0,2877.0,3639.0
2020-02-01,4229.0,2877.0,3541.0
2020-02-02,4229.0,2877.0,3541.0
2020-02-04,4232.0,2842.0,3395.0
2020-02-05,4230.0,2942.0,3369.0
2020-02-06,4235.0,2942.0,3369.0
2020-02-07,4237.0,2942.0,3643.0
2020-02-08,4237.0,2792.0,3613.0
2020-02-09,4236.0,2760.0,3568.0
2020-02-10,4236.0,2760.0,3563.0
2020-02-11,4228.0,2792.0,3359.0
2020-02-12,4228.0,2792.0,3641.0
2020-02-13,4228.0,2792.0,3604.0
2020-02-14,4228.0,2817.0,3581.0
2020-02-15,4230.0,2807.0,3590.0
2020-02-16,4230.0,2707.0,3439.0
2020-02-17,4231.0,2857.0,3439.0
2020-02-18,4230.0,2857.0,3466.0
2020-02-19,4230.0,2747.0,3319.0
2020-02-20,4228.0,2557.0,3354.0
2020-02-21,4228.0,2707.0,3061.0
2020-02-22,3852.0,2707.0,2942.0
2020-02-23,3851.0,2707.0,2942.0
2020-02-24,4230.0,2707.0,2804.0
2020-02-25,4231.0,2707.0,3234.0
2020-02-26,4231.0,2707.0,3277.0
2020-02-27,4226.0,2707.0,3275.0
2020-02-28,4231.0,2655.0,3277.0
2020-02-29,4231.0,2765.0,3242.0
2020-03-01,4231.0,2765.0,3111.0
2020-03-02,4224.0,2765.0,3111.0
2020-03-03,4224.0,2720.0,3111.0
2020-03-04,4224.0,2720.0,3111.0
2020-03-05,4224.0,2720.0,2833.0
2020-03-06,3798.0,2720.0,2753.0
2020-03-07,3789.0,2720.0,2753.0
2020-03-08,3789.0,2720.0,2762.0
2020-03-09,3506.0,2576.0,2762.0
2020-03-10,3635.0,2711.0,2766.0
2020-03-11,3508.0,2711.0,2766.0
